,name,role,p_index
1,ab-ba-kal-la,['source'],100041
2,lu₂-dingir-ra,['source'],100189
3,ur-nigar{gar},['recipient'],100189
4,nu-i₃-da,['new owner'],100190
5,na-sa₆,['source'],100190
6,lu₂-dingir-ra,['source'],100191
7,ur-nigar{gar},['recipient'],100191
8,lu₂-dingir-ra,['source'],100211
9,ur-nigar{gar},['recipient'],100211
10,šu-{d}nin-šubur,['representative'],100215
11,zu-ba-ga,['source'],100215
12,ad-da-kal-la,['intermediary'],100215
13,na-sa₆,['recipient'],100217
14,ab-ba-sa₆-ga,['source'],100218
15,na-sa₆,['recipient'],100219
16,ARAD₂-mu,['representative'],100220
17,{d}šul-gi-a-a-mu,['source'],100220
18,na-sa₆,['source'],100221
19,ur-{d}suen,['recipient'],100221
20,eš₃-nun-na{ki},['source'],100222
21,in-ta-e₃-a,['recipient'],100222
22,na-sa₆,['source'],100223
23,dingir-ba-ni,['recipient'],100224
24,na-sa₆,['source'],100224
25,ur-ku₃-nun-na,['source'],100227
26,lu₂-ša-lim,['intermediary'],100227
27,šeš-da-da,['new owner'],100228
28,ur-du₆,['new owner'],100228
29,{d}nanna-igi-du,['representative'],100229
30,in-ta-e₃-a,['source'],100229
31,{d}nanna-ma-ba,['intermediary'],100229
32,dingir-dan,['representative'],100230
33,lu₂-dingir-ra,['source'],100230
34,ARAD₂-mu,['representative'],100231
35,nu-ur₂-{d}suen,['intermediary'],100231
36,ab-ba-sa₆-ga,['recipient'],100232
37,ab-ba-sa₆-ga,['source'],100259
38,in-ta-e₃-a,['recipient'],100259
39,er₃-ra-na-da,['representative'],100260
40,na-sa₆,['source'],100260
41,e₂-a-i₃-li₂,['new owner'],100261
42,na-sa₆,['source'],100261
43,ab-ba-sa₆-ga,['source'],100262
44,u₂-ta₂-mi-šar-ra-am,['recipient'],100262
45,kal-{d}šul-gi,['intermediary'],100262
46,ab-ba-sa₆-ga,['source'],100264
47,u₂-ta₂-mi-šar-ra-am,['recipient'],100264
48,lu₂-dingir-ra,['source'],100265
49,ur-nigar{gar},['recipient'],100265
50,lu₂-dingir-ra,['recipient'],100266
51,{d}šul-gi-a-a-mu,['source'],100268
52,ur-nigar{gar},['recipient'],100268
53,{d}šul-gi-a-a-mu,['source'],100269
54,{d}šul-gi-iri-mu,['recipient'],100269
55,ur-{d}lugal-edin-na,['recipient'],100270
56,{d}šul-gi-si₂-im-tum,['new owner'],100271
57,a₂#-bi₂-la-tum,['recipient'],100271
58,ab-ba-sa₆-ga,['source'],100272
59,a-hu-we-er,['recipient'],100272
60,{d}šul-gi-i₃-li₂,['source'],100273
61,lugal-am-gal,['intermediary'],100281
62,du₁₁-ga,['source'],100287
63,a₂-bi₂-li₂-a,['source'],100296
64,{d}en-lil₂-la₂,['source'],100297
65,ur-{d}gu-la-ma,['source'],100317
66,ur-{d}[...],['recipient'],100317
67,{d}šul-gi-iri-mu,['source'],100320
68,ab-ba-sa₆-ga,['recipient'],100320
69,en-{d}nanše-ki-ag₂,['representative'],100327
70,ab-ba-sa₆-ga,['source'],100327
71,in-ta-e₃-a,['recipient'],100328
72,nu-ur₂-{d}suen,['intermediary'],100328
73,ba-na-x,['intermediary'],100329
74,a-bi₂-e₂,['intermediary'],100329
75,a-za-ak-za-gaz,['intermediary'],100329
76,še-er-ha-num₂,['intermediary'],100329
77,i-ri-ib,['intermediary'],100329
78,e-la-ak-nu-id,['intermediary'],100329
79,ab-ba-sa₆-ga,['source'],100329
80,nu-ur₂-{d}suen,['recipient'],100329
81,ab-ba-sa₆-ga,['source'],100330
82,ab-ba-sa₆-ga,['recipient'],100331
83,puzur₄-{d}en-lil₂,['source'],100332
84,er₃-re-šum,['intermediary'],100332
85,na-lu₅,['source'],100335
86,ur-nigar{gar},['recipient'],100335
87,lu₂-dingir-ra,['source'],100336
88,na-sa₆,['recipient'],100336
89,ur-nigar{gar},['recipient'],100337
90,ur-nigar{gar},['recipient'],100338
91,ur-nigar[{gar}],['recipient'],100339
92,ur-mes,['intermediary'],100342
93,na-ra-am-i₃-li₂,['source'],100346
94,lu₂-sa₆-i₃-zu,['recipient'],100564
95,nigar{gar}-ki-du₁₀,['intermediary'],100591
96,la-ni-mu,['recipient'],100608
97,ARAD₂-e₂-ninnu,['recipient'],100616
98,lu₂-{d}er₃-ra,['source'],100617
99,ha-lu₅-lu₅,['recipient'],100617
100,ur-{d}suen,['source'],100618
101,gu-du-du,['source'],100625
102,lugal-mas-su,['intermediary'],100628
103,dam-gar₃,['source'],100643
104,ur-ba-gara₂,['recipient'],100643
105,ARAD₂,['source'],100644
106,lugal-e-ba-<an>-sa₆,['recipient'],100644
107,bu₃-u₂-du,['source'],100645
108,lugal-e-ba-an-sa₆,['recipient'],100645
109,nin₉-tur-tur-ra,['source'],100656
110,si-NE-e,['source'],100656
111,[...]-la,['source'],100658
112,{d}šara₂-a-zi,['source'],100661
113,ARAD₂,['source'],100673
114,lu₂-sa₆-i₃-zu,['recipient'],100673
115,tir,['source'],100675
116,lu₂-bulug₃-ga₂,['recipient'],100678
117,ur-e₁₁-e,['source'],100681
118,ba-sa₆,['recipient'],100681
119,ur-{d}šara₂,['recipient'],100691
120,{d}šara₂-i₃-sa₆,['recipient'],100691
121,ur-ru,['source'],100699
122,a-kal-la,['recipient'],100699
123,ab-ba-gi-na,['intermediary'],100739
124,sagi-ne,['intermediary'],100746
125,giri₃-ni-i₃-sa₆,['source'],100751
126,da-umma{ki},['recipient'],100752
127,da-da-ga,['source'],100768
128,ur-{d}dumu-zi-da,['recipient'],100768
129,lugal-{geš}kiri₆,['source'],100769
130,a-kal-la,['recipient'],100769
131,{d}šara₂-za-me,['source'],100771
132,sipa,['source'],100775
133,lunga,['source'],100776
134,da-da-ga,['recipient'],100776
135,ki-lu₅-la,['source'],100782
136,ma-an-ba,['source'],100782
137,nigar{gar}-ki-du₁₀,['source'],100782
138,a-kal-la,['source'],100782
139,ur-{geš}gigir,['source'],100783
140,da-da-ga,['recipient'],100783
141,na-silim,['source'],100784
142,da-da-ga,['recipient'],100784
143,lugal-ušurₓ(|LAL₂.TUG₂|),['source'],100792
144,gu-du-du,['recipient'],100792
145,uš-mu,['source'],100794
146,uš-mu,['source'],100795
147,gu-du-du,['recipient'],100795
148,gu-du-du,['recipient'],100797
149,šeš-kal-la,['intermediary'],100797
150,šeš-kal-la,['intermediary'],100798
151,[lugal]-ezem,['recipient'],100799
152,da-da-ga,['recipient'],100810
153,ur-e₁₁-e,['source'],100811
154,ur-ama-na,['source'],100819
155,ur-{d}iškur,['recipient'],100819
156,gu-du-du,['recipient'],100837
157,ad-da-sa₆-ga,['intermediary'],100967
158,ARAD₂-mu,['representative'],100967
159,šu-ma-ma,['source'],100967
160,ur-nigar{gar},['recipient'],100974
161,ARAD₂-mu,['representative'],100975
162,na-sa₆,['source'],100975
163,na-sa₆,['source'],100976
164,šu-{d}idim,['recipient'],100976
165,šagina,['source'],100977
166,la-muš-ta,['intermediary'],100977
167,na-sa₆,['recipient'],100977
168,ur#-nigar#{gar},['new owner'],100978
169,za-a-an-nu-um,['new owner'],100978
170,ku-na-ma#-tum,['new owner'],100978
171,a-a-kal-la,['representative'],100978
172,ur-nigar{gar},['recipient'],100978
173,na-sa₆#,['source'],100978
174,na-lu₅,['source'],100980
175,na-sa₆,['recipient'],100980
176,ab-ba-sa₆-ga,['recipient'],100982
177,ab-ba-sa₆-ga,['recipient'],100983
178,šu-ab-ba,['intermediary'],100984
179,ARAD₂-mu,['representative'],100984
180,zu-ba-ga,['source'],100984
181,ARAD₂-mu,['representative'],100985
182,ur-ku₃-nun-na,['source'],100985
183,nu-ur₂-{d}iškur,['intermediary'],100985
184,{d}nanna-igi-du,['representative'],100986
185,ur-sukkal,['intermediary'],100986
186,ARAD₂-mu,['representative'],100986
187,tu-ra-am-{d}da-gan,['representative'],100986
188,a]-ba-{d}en-lil₂-gin₇,['source'],100986
189,lu₂-{d}nin-šubur,['intermediary'],100986
190,lu₂-{d}en-lil₂,['intermediary'],100987
191,lugal-ma₂-gur₈-re,['representative'],100990
192,a₂-bi₂-li₂-a,['recipient'],100992
193,a₂-bi₂-li₂-a,['source'],100993
194,ab-ba-sa₆-ga,['source'],100994
195,a-hu-we-er,['recipient'],100994
196,ab-ba-sa₆-ga,['source'],100995
197,be-li₂-a-ri-ik,['recipient'],100996
198,na-sa₆,['source'],100997
199,a-hu-ni,['source'],100998
200,ur-nigar{gar},['recipient'],100998
201,en-dingir-mu,['source'],101000
202,ur-nigar{gar},['recipient'],101000
203,lugal-inim-gi-na,['intermediary'],101001
204,na-sa₆,['source'],101001
205,{d}en-lil₂-la₂,['recipient'],101001
206,na-lu₅,['source'],101002
207,{d}šul-gi-iri-mu,['recipient'],101002
208,ab-ba-sa₆-ga,['source'],101003
209,{d}nanna-zi-ša₃-gal₂,['recipient'],101003
210,ab-ba-sa₆-ga,['source'],101004
211,{d}šul-gi-a-a-mu,['recipient'],101004
212,ab-ba-sa₆-ga,['source'],101005
213,na-lu₅,['recipient'],101005
214,ab-ba-sa₆-ga,['source'],101006
215,in-ta-e₃-a,['recipient'],101006
216,ab-ba-sa₆-ga,['source'],101007
217,ab-ba-sa₆-ga,['source'],101008
218,in-ta-e₃-a,['recipient'],101008
219,ab-ba-sa₆-ga,['source'],101009
220,in-ta-e₃-a,['recipient'],101009
221,ab-ba-sa₆-ga,['source'],101010
222,in-ta-e₃-a,['recipient'],101010
223,{d}nanna-ma-ba,['source'],101011
224,ab-ba-sa₆-ga,['source'],101013
225,lu₂-sa₆-ga,['intermediary'],101013
226,al-lu,['source'],101014
227,a₂-bi₂-li₂-a,['recipient'],101015
228,a₂!-na-na,['intermediary'],101016
229,a-ba-{d}en-lil₂-gin₇,['source'],101016
230,lu₂-{d}nin-šubur,['intermediary'],101016
231,zu₂-ga-li,['source'],101017
232,ur-ku₃-nun-na,['recipient'],101017
233,a-ba-{d}en-lil₂-gin₇,['source'],101019
234,ur-da-gi₄,['intermediary'],101019
235,{d}šul-gi-iri-mu,['recipient'],101021
236,šuš₃,['source'],101225
237,lugal-ku₃-zu,['recipient'],101225
238,na-ra-am-i₃-li₂,['source'],101296
239,lugal,['source'],101297
240,{d}šul-gi-si₂-im-ti,['new owner'],101297
241,be-li₂-du₁₀,['recipient'],101297
242,a₂-bi₂-li₂-a,['recipient'],101298
243,nir-i₃-da-gal₂,['new owner'],101299
244,e₂-u₆-e,['recipient'],101299
245,ur-ku₃-nun-na,['source'],101300
246,na-ra-am-i₃-li₂,['source'],101301
247,lugal-an-na-ab-tum₂,['recipient'],101301
248,{d}šul-gi-si₂-im-tum,['new owner'],101302
